시군명,사업장명,영업상태명,소재지시설전화번호,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,축산업무구분명
고양시,다니엘팜약국,정상,031-906-2608,10401,"경기도 고양시 일산동구 무궁화로 32-21 (장항동, 로데오메탈릭타워 8층 810호)",경기도 고양시 일산동구 장항동 776-1번지 로데오메탈릭타워 8층 810호,10401,동물약국
고양시,햇빛주는 약국,정상,,,"경기도 고양시 일산동구 강석로 149 102호 (마두동,강촌프라자)",경기도 고양시 일산동구 마두동 799-2   번지 강촌프라자102,10414,동물약국
고양시,삼송역 3번출구 약국,정상,,10590,"경기도 고양시 덕양구 동송로 69, 명빌딩 105호 (삼송동)",경기도 고양시 덕양구 삼송동 16-46번지,10590,동물약국
고양시,해맑은 약국,정상,924-4975,,,경기도 고양시 일산서구 탄현동 33-58번지 이화프라자상가 116호,,동물약국
고양시,어울림온누리,정상,031-968-3773,10468,"경기도 고양시 덕양구 고양대로1384번길 7-5 (성사동, 서강프라자)",경기도 고양시 덕양구 성사동 720-2번지,10468,동물약국
고양시,명보약국,정상,031-938-9600,10492,경기도 고양시 덕양구 중앙로472번길 73 (행신동),경기도 고양시 덕양구 행신동 967-1번지,10492,동물약국
고양시,건강을 요리하는 약국,정상,031-915-7501,10323,"경기도 고양시 일산동구 위시티3로 58, 103호 (식사동, 로얄프라자 )",경기도 고양시 일산동구 식사동 1550번지,10323,동물약국
고양시,우주약국,정상,031-907-0567,10417,"경기도 고양시 일산동구 경의로 315, 설촌상가 101호 (마두동)",경기도 고양시 일산동구 마두동 744번지 설촌상가,10417,동물약국
고양시,온누리흰돌약국,정상,,,,경기도 고양시 일산동구 백석동 1343번지 흰동마을4단지 주공임대상가106호,10448,동물약국
고양시,신세계약국,정상,031-911-2933,10381,"경기도 고양시 일산서구 중앙로 1574 (대화동, 월드프라자 102호)",경기도 고양시 일산서구 대화동 2205-1번지 월드프라자 102호,10381,동물약국
고양시,미르약국,정상,031-932-2033,,경기도 고양시 일산동구 중앙로 1065 1층 (백석동),경기도 고양시 일산동구 백석동 1334-3번지 1층,10447,동물약국
고양시,솔벗약국,정상,031-905-0377,10414,"경기도 고양시 일산동구 중앙로 1194, 103호 (마두동)",경기도 고양시 일산동구 마두동 798-3번지 금강프라자 103호,10414,동물약국
고양시,다원약국,정상,031-901-0121,10402,"경기도 고양시 일산동구 정발산로 39, 103호 (장항동, 대양빌딩)",경기도 고양시 일산동구 장항동 856-1번지 103호,10402,동물약국
고양시,도래울 약국,정상,,10551,"경기도 고양시 덕양구 도래울로 86, 109호 (도내동, 엘에이치원흥도래울마을3단지)",경기도 고양시 덕양구 도내동 1010번지 109호,10551,동물약국
고양시,제니스온누리약국,정상,,10242,"경기도 고양시 일산서구 일현로 97-11 (탄현동, 일산 위브더제니스)",경기도 고양시 일산서구 탄현동 1640번지,10242,동물약국
고양시,행복가득한약국,정상,,10524,"경기도 고양시 덕양구 무원로 62, 1층 (행신동)",경기도 고양시 덕양구 행신동,10524,동물약국
고양시,큰곰약국,정상,,10275,경기도 고양시 덕양구 혜음로 9 (고양동),경기도 고양시 덕양구 고양동 240-8번지 정호빌딩 103호,10275,동물약국
고양시,메디팜 장계약국,정상,968-1297,,,"경기도 고양시 덕양구 화정동 851번지 달빛마을 부영상가 104,105호",10473,동물약국
고양시,정발산약국,정상,031-904-8227,10402,경기도 고양시 일산동구 정발산로 43-20 (장항동),경기도 고양시 일산동구 장항동 846번지 센트럴프라자 120호,10402,동물약국
고양시,품안에약국,정상,,10414,"경기도 고양시 일산동구 중앙로 1189, 104호 (장항동, GM굿모닝 법조타운)",경기도 고양시 일산동구 장항동 890-6번지 104호,10414,동물약국
고양시,종로,정상,,,,경기도 고양시 덕양구 향동동 280-4   번지,,동물약국
고양시,주엽약국,정상,031-811-3807,10387,"경기도 고양시 일산서구 중앙로 1437, 105호 (주엽동, 화성프라자)",경기도 고양시 일산서구 주엽동 109번지 화성프라자 105호,10387,동물약국
고양시,토마토약국,정상,031-924-7392,10386,"경기도 고양시 일산서구 강선로 59, 405호 (주엽동, 동신빌딩)",경기도 고양시 일산서구 주엽동 72-1번지 동신빌딩 405호,10386,동물약국
고양시,원마운트 약국,정상,,10392,"경기도 고양시 일산서구 한류월드로 300 (대화동, 원마운트)",경기도 고양시 일산서구 대화동 2606번지,10392,동물약국
고양시,정신약국,정상,02-381-0983,,,경기도 고양시 덕양구 지축동 681-33번지,,동물약국
고양시,밝은온누리약국,정상,,10209,"경기도 고양시 일산서구 가좌3로 29 (가좌동, 1층)",경기도 고양시 일산서구 가좌동 405-6번지 1층,10209,동물약국
고양시,일산그린약국,정상,,10338,"경기도 고양시 일산동구 고양대로 739, 203호 (중산동, 주은프라자)",경기도 고양시 일산동구 중산동 1667-7번지,10338,동물약국
고양시,서,정상,,,,경기도 고양시 덕양구 향동동 265-14  번지,10546,동물약국
고양시,미래열린약국,정상,02-371-1371,10568,"경기도 고양시 덕양구 신원로 32 (신원동, 미래메디컬빌딩)",경기도 고양시 덕양구 신원동 621-2번지,10568,동물약국
고양시,원당약국,정상,,10464,경기도 고양시 덕양구 호국로 788 (성사동),경기도 고양시 덕양구 성사동 698-15번지,10464,동물약국
고양시,건강한약국,정상,031-916-8645,10374,경기도 고양시 일산서구 일산로 526 (일산동),경기도 고양시 일산서구 일산동 1081-1번지 진송빌딩 1층 일부,10374,동물약국
고양시,세솔약국,정상,02-6229-2408,10568,"경기도 고양시 덕양구 권율대로 893, 108호 (신원동, 파스텔 시티)",경기도 고양시 덕양구 신원동 620-1번지 108호,10568,동물약국
고양시,하이약국,정상,031-977-6617,10338,경기도 고양시 일산동구 고양대로 757 (중산동),경기도 고양시 일산동구 중산동 1694번지,10338,동물약국
고양시,은진 약국,정상,908-2550,,경기도 고양시 일산동구 중앙로 1283 (장항동),경기도 고양시 일산동구 장항동 784번지,10401,동물약국
고양시,일산늘푸른약국,정상,,10401,"경기도 고양시 일산동구 중앙로1275번길 38-10 (장항동, 우림로데오스위트)",경기도 고양시 일산동구 장항동 771-1번지 우림로데오스위트 210호,10401,동물약국
고양시,세정약국,정상,031-925-3442,10414,경기도 고양시 일산동구 장백로 172 (장항동),경기도 고양시 일산동구 장항동 898-1번지 금강프라자 201호,10414,동물약국
고양시,중앙약국,정상,,10450,경기도 고양시 일산동구 강송로 49 (백석동),경기도 고양시 일산동구 백석동 1238번지 윈스턴파크 1차 107호,10450,동물약국
고양시,숲속약국,정상,031-903-6565,,"경기도 고양시 일산동구 숲속마을로 22 102호 (풍동,진넥스블루오션)",경기도 고양시 일산동구 풍동 1278-1번지 진넥스블루오션 102호,10305,동물약국
고양시,소나무약국,정상,,10495,"경기도 고양시 덕양구 충장로 150 (행신동, 롯데마트 고양점 2층 소나무약국)",경기도 고양시 덕양구 행신동 941번지 롯데마트 고양점 2층 소나무약국,10495,동물약국
고양시,행복온누리약국,정상,031-978-7496,10325,경기도 고양시 일산동구 위시티로 81 (식사동),경기도 고양시 일산동구 식사동 670-27번지 풍산트원시티2차 107호,10325,동물약국
고양시,신도시약국,정상,031-962-5114,10445,경기도 고양시 일산동구 강송로74번길 8-18 (백석동),경기도 고양시 일산동구 백석동 1181-6번지 1층,10445,동물약국
고양시,일산종로동물병원,정상,031-921-5232,411827,경기도 고양시 일산서구 일산로 530 (일산동),경기도 고양시 일산서구 일산동 1080번지,10374,동물약국
고양시,드림팜약국,정상,031-979-7210,10500,경기도 고양시 덕양구 백양로 79 (화정동),경기도 고양시 덕양구 화정동 976번지 이마트내 1층,10500,동물약국
고양시,화정푸른솔약국,정상,031-978-7999,10503,"경기도 고양시 덕양구 성신로 10, 112호 (화정동, 글로벌테마프라자)",경기도 고양시 덕양구 화정동 1147번지 글로벌테마프라자,10503,동물약국
고양시,풍산사랑약국,정상,031-976-1470,10311,"경기도 고양시 일산동구 무궁화로 237 (중산동, 4층 일부, 이마트 풍산점)",경기도 고양시 일산동구 중산동 1809번지,10311,동물약국
고양시,올리브온누리약국,정상,031-914-0516,411410,경기도 고양시 일산서구 중앙로 1564 (대화동),"경기도 고양시 일산서구 대화동 2203-1번지 (대화동,그린월드301호)",10381,동물약국
고양시,온누리시민약국,정상,0319011091,10410,"경기도 고양시 일산동구 중앙로 1228 (마두동, KT고양지사)",경기도 고양시 일산동구 마두동 1010번지 kt빌딩 1층,10410,동물약국
고양시,일산동물약국,정상,031-902-0526,410811,경기도 고양시 일산동구 강송로 169-102 (마두동),,10415,동물약국
고양시,신성약국,정상,02-582-0011,10598,경기도 고양시 덕양구 동산2로 1 (동산동),경기도 고양시 덕양구 동산동 311-3번지 현대플라자 104호,10598,동물약국
고양시,보원약국,정상,,10353,"경기도 고양시 일산서구 고양대로 664 (일산동, 풍성빌딩우측3호)",경기도 고양시 일산서구 일산동 622-7번지 풍성빌딩우측 3호,10353,동물약국
고양시,고양하나로 약국,정상,07042281128,10226,"경기도 고양시 일산서구 대화로 362 (대화동, 고양농수산물종합유통센터)",경기도 고양시 일산서구 대화동 2324번지,10226,동물약국
고양시,고양종로약국,정상,031926-4817,10275,경기도 고양시 덕양구 혜음로 36 (고양동),경기도 고양시 덕양구 고양동 131번지,10275,동물약국
고양시,자연약국,정상,070-8292-5482,10414,경기도 고양시 일산동구 장백로 194 (장항동),경기도 고양시 일산동구 장항동 893-1번지,10414,동물약국
고양시,원당시장약국,정상,031-744-6957,10462,"경기도 고양시 덕양구 호국로 803 (주교동, 세창아파트)",경기도 고양시 덕양구 주교동 620-5번지 세창아파트,10462,동물약국
고양시,대화마을약국,정상,031-917-4422,,"경기도 고양시 일산서구 송포로 35 117호 (대화동,대륙종합상가)",경기도 고양시 일산서구 대화동 1481-4번지 대륙종합상가 117호,10219,동물약국
고양시,고양미소약국,정상,,,,경기도 고양시 덕양구 고양동 223-2번지 1층,10275,동물약국
고양시,화정 메디칼 약국,정상,031-974-5353,10500,"경기도 고양시 덕양구 화중로 72, 105호 (화정동)",경기도 고양시 덕양구 화정동 970-2번지 홀인원프라자빌딩 105호,10500,동물약국
고양시,새화정약국,정상,031-814-8133,10497,"경기도 고양시 덕양구 화정로 53 (화정동, 새롬프라자 401호)",경기도 고양시 덕양구 화정동 969-1번지,10497,동물약국
고양시,정약국,정상,,10340,경기도 고양시 일산서구 고봉로 291 (일산동),경기도 고양시 일산서구 일산동 555-1번지 에이스스타디움 307호,10340,동물약국
고양시,중앙약국,정상,031-970-8338,10507,경기도 고양시 덕양구 능곡로45번길 91 (토당동),경기도 고양시 덕양구 토당동 99-38번지,10507,동물약국
고양시,그린약국,정상,031-962-6819,,,경기도 고양시 덕양구 벽제동 721번지 고양 e-플라자 308호,,동물약국
고양시,고양스타약국 (스타필드지하1층약국),정상,031-5173-0405,10595,"경기도 고양시 덕양구 고양대로 1955, 스타필드 고양 지하1층 245호 (동산동)",경기도 고양시 덕양구 동산동 370 스타필드 고양 245호,10595,동물약국
고양시,보명 약국,정상,962-9625,,경기도 고양시 덕양구 읍내로 10 (고양동),경기도 고양시 덕양구 고양동 244번지,10275,동물약국
고양시,덕이허준약국,정상,,,경기도 고양시 일산서구 덕이로 209 1층 (덕이동),경기도 고양시 일산서구 덕이동 1045-1번지 1층,10212,동물약국
고양시,일산선약국,정상,031-923-0222,10209,"경기도 고양시 일산서구 가좌1로 53 (가좌동, 샤르망빌딩 1층)",경기도 고양시 일산서구 가좌동 405-10번지 샤르망빌딩 1층,10209,동물약국
고양시,열린온누리약국,정상,031-921-8141,10343,"경기도 고양시 일산서구 산현로 7, 103호 (탄현동, 열린온누리약국)",경기도 고양시 일산서구 탄현동 1577-1번지 열린온누리약국 103호,10343,동물약국
고양시,파랑새온누리약국,정상,031-917-3980,10387,"경기도 고양시 일산서구 중앙로 1455, 157호 (주엽동, 대우시티프라자)",경기도 고양시 일산서구 주엽동 115번지,10387,동물약국
고양시,해솔약국,정상,031-979-9465,10500,"경기도 고양시 덕양구 화중로 54, 서일빌딩 110호 (화정동)",경기도 고양시 덕양구 화정동 984번지 서일빌딩,10500,동물약국
고양시,진영약국,정상,904-3753,,"경기도 고양시 일산동구 강석로 115 102호 (마두동,장항빌딩)",경기도 고양시 일산동구 마두동 804번지 장항빌딩 102호,10414,동물약국
고양시,그레이스온누리약국,정상,,10495,경기도 고양시 덕양구 중앙로 548 (행신동),경기도 고양시 덕양구 행신동 950-2번지 현대프라자 102호,10495,동물약국
고양시,뉴코아약국,정상,070-7723-9559,10417,"경기도 고양시 일산동구 강촌로 157, 서울코아 103호 (마두동)",경기도 고양시 일산동구 마두동 731번지 서울코아 103호,10417,동물약국
고양시,나무온누리약국,정상,0319779760,10355,"경기도 고양시 일산동구 중산로 105, 현해프라자 107호 (중산동)",경기도 고양시 일산동구 중산동 1692번지 현해프라자 107호,10355,동물약국
고양시,드림약국,정상,,10386,경기도 고양시 일산서구 강선로 59 (주엽동),경기도 고양시 일산서구 주엽동 72-1번지,10386,동물약국
고양시,화정그린약국,정상,031-972-1231,10503,"경기도 고양시 덕양구 중앙로 612, 1층 104호 (화정동)",경기도 고양시 덕양구 화정동 1148-6 ,10503,동물약국
고양시,탄현약국,정상,070-8822-0160,10242,"경기도 고양시 일산서구 일현로 97-11, 1층 112호 (탄현동, 일산위브더제니스)",경기도 고양시 일산서구 탄현동 1640번지,10242,동물약국
고양시,대화약국,정상,031-913-9295,10381,"경기도 고양시 일산서구 중앙로 1559, 씨티타워 103호 (대화동)",경기도 고양시 일산서구 대화동 2222-3번지 씨티타워 103호,10381,동물약국
고양시,화정건강한 약국,정상,,10497,"경기도 고양시 덕양구 화중로 96, 우정프라자 303호 (화정동)",경기도 고양시 덕양구 화정동 968-4 우정프라자 ,10497,동물약국
고양시,대화동물약국,정상,,10381,"경기도 고양시 일산서구 중앙로 1564, 그린월드 403-1호 (대화동)",경기도 고양시 일산서구 대화동 2203-1 그린월드 ,10381,동물약국
고양시,주약국,정상,,10234,"경기도 고양시 일산서구 하이파크2로 60, 104호 (덕이동, 든든한빌딩)",경기도 고양시 일산서구 덕이동 1551번지 든든한 빌딩 104호,10234,동물약국
고양시,푸른솔약국,정상,,10495,"경기도 고양시 덕양구 충장로 150, 롯데마트 고양점 2층 (행신동)",경기도 고양시 덕양구 행신동 941 롯데마트 고양점 ,10495,동물약국
고양시,새봄약국,정상,02-2293-0768,10239,"경기도 고양시 일산서구 일현로 140, 101,102호 (탄현동, 큰마을대림현대아파트 주상가)",경기도 고양시 일산서구 탄현동 121번지 큰마을대림현대아파트 주상가,10239,동물약국
고양시,이십일세기새롬약국(21세기새롬약국),정상,031-965-4677,10497,"경기도 고양시 덕양구 화정로 53, 새롬프라자 109호 (화정동)",경기도 고양시 덕양구 화정동 969-1번지 새롬프라자,10497,동물약국
고양시,정성약국,정상,031-907-3344,10414,"경기도 고양시 일산동구 중앙로 1199, 1층 (장항동)",경기도 고양시 일산동구 장항동 890-1 ,10414,동물약국
고양시,뜨란약국,정상,031-902-8975,10306,"경기도 고양시 일산동구 숲속마을1로 71, 샘터17 1층 109호 (풍동)",경기도 고양시 일산동구 풍동 1279-4 샘터17 ,10306,동물약국
고양시,해맑은약국,정상,,,"경기도 고양시 일산서구 산현로92번길 60 116호 (일산동,이화프라자)",경기도 고양시 일산서구 탄현동 33-58번지 이화프라자 116호,10347,동물약국
고양시,이조약국,정상,,10513,"경기도 고양시 덕양구 행신로143번길 72-1, 1층 (행신동)",경기도 고양시 덕양구 행신동 634-35 ,10513,동물약국
고양시,푸른약국,정상,,10387,"경기도 고양시 일산서구 중앙로 1456, 서현프라자 (주엽동)",경기도 고양시 일산서구 주엽동 18-2번지 서현프라자 ,10387,동물약국
고양시,밝은미소약국,정상,031-972-7512,10500,"경기도 고양시 덕양구 화신로272번길 58, 영프라자빌딩 405호 (화정동)",경기도 고양시 덕양구 화정동 972번지 영프라자빌딩 ,10500,동물약국
고양시,한사랑온누리약국,정상,,10234,"경기도 고양시 일산서구 하이파크3로 84, 신성프라자 1층 (덕이동)",경기도 고양시 일산서구 덕이동 1542번지 ,10234,동물약국
고양시,큰나무약국,정상,,10464,"경기도 고양시 덕양구 고양대로 1361 (성사동, 신원당빌딩)",경기도 고양시 덕양구 성사동 700-11번지,10464,동물약국
고양시,온누리하늘약국,정상,,10355,"경기도 고양시 일산동구 중산로 105, 107호 (중산동, 현해프라자)",경기도 고양시 일산동구 중산동 1693번지,10355,동물약국
고양시,화정마더스 약국,정상,,10500,"경기도 고양시 덕양구 화정로 52, 세이브존 지하2층 (화정동)",경기도 고양시 덕양구 화정동 970번지 세이브존,10500,동물약국
고양시,덕양메디칼약국,정상,031-938-1726,10503,"경기도 고양시 덕양구 백양로 51, 1층 104호 (화정동)",경기도 고양시 덕양구 화정동 1000-3번지 네이버타운 104호,10503,동물약국
고양시,생생약국,정상,031-966-0138,10477,"경기도 고양시 덕양구 은빛로 41, 102호 (화정동, 대경프라자)",경기도 고양시 덕양구 화정동 909-1번지,10477,동물약국
고양시,우리들약국,정상,023810099,10571,"경기도 고양시 덕양구 권율대로 900, 삼송에스프라자 105호 (신원동)",경기도 고양시 덕양구 신원동 628번지 삼송에스프라자 105호,10571,동물약국
고양시,미소가가득한약국,정상,,10386,"경기도 고양시 일산서구 중앙로 1426, 일송노블레스 510호 (주엽동)",경기도 고양시 일산서구 주엽동 66-1번지 일송노블레스 510호,10386,동물약국
고양시,밝은미소약국,정상,,10500,"경기도 고양시 덕양구 화신로272번길 58, 영프라자빌딩 405호 (화정동)",경기도 고양시 덕양구 화정동 972 영프라자빌딩 405호,10500,동물약국
고양시,또바기약국,정상,031-965-1221,10463,경기도 고양시 덕양구 호국로790번길 17 (성사동),경기도 고양시 덕양구 성사동 697-14번지,10463,동물약국
고양시,더불어약국,정상,,10590,"경기도 고양시 덕양구 삼송로 190-5, 1층 2호 (삼송동)",경기도 고양시 덕양구 삼송동 16-45번지 ,10590,동물약국
고양시,제일약국,정상,0319043158,10417,"경기도 고양시 일산동구 일산로 214, 화성프라자 1층 101호 (마두동)",경기도 고양시 일산동구 마두동 728번지 화성프라자 101호,10417,동물약국
고양시,휴베이스 명인 약국,정상,031-904-4123,10414,"경기도 고양시 일산동구 장백로 212, 일산법조빌딩 1층 (장항동)",경기도 고양시 일산동구 장항동 891 일산법조빌딩 ,10414,동물약국
고양시,호수약국,정상,,10414,"경기도 고양시 일산동구 장백로 172, 금강프라자 101호 (장항동)",경기도 고양시 일산동구 장항동 898-1번지 금강프라자 101호,10414,동물약국
고양시,삼송제일약국,정상,07088610009,10571,"경기도 고양시 덕양구 권율대로 886, 호평PLAZA 102호 (신원동)",경기도 고양시 덕양구 신원동 626번지 호평PLAZA 102호,10571,동물약국
고양시,따뜻한 약국,정상,,10401,"경기도 고양시 일산동구 중앙로1275번길 64, 홈플러스 일산점 2층 X14 YF호 (장항동)",경기도 고양시 일산동구 장항동 755 홈플러스 일산점 ,10401,동물약국
고양시,바로약국,정상,031-919-3710,10359,"경기도 고양시 일산동구 일산로 451, 1층 (정발산동)",경기도 고양시 일산동구 정발산동 1146번지,10359,동물약국
고양시,소영약국,정상,031-938-0707,10508,"경기도 고양시 덕양구 능곡로13번길 15, B106호 (토당동, 한강 능곡역 성원상떼빌)",경기도 고양시 덕양구 토당동 342-7 한강 능곡역 성원상떼빌 ,10508,동물약국
고양시,도래울약국,정상,,10551,"경기도 고양시 덕양구 도래울로 110, 테마시티 119호 (도내동)",경기도 고양시 덕양구 도내동 966번지 ,10551,동물약국
고양시,건강드림약국,정상,0319657582,10551,"경기도 고양시 덕양구 도래울로 52, 센터프라자 102호 (도내동)",경기도 고양시 덕양구 도내동 1020번지 센터프라자 102호,10551,동물약국
고양시,애플약국,정상,0319230992,10390,"경기도 고양시 일산서구 킨텍스로 217-23, 일산 더샵 그라비스타 102동 10호 (대화동)",경기도 고양시 일산서구 대화동 2702번지 일산 더샵 그라비스타 102동 10호,10390,동물약국
고양시,두레온누리약국,정상,,10447,"경기도 고양시 일산동구 중앙로 1080, 남정골드프라자 2층 201호 (백석동)",경기도 고양시 일산동구 백석동 1288-2 남정골드프라자 ,10447,동물약국
고양시,하나로약국,정상,,10495,"경기도 고양시 덕양구 충장로 134, 아이프라자 106호 (행신동)",경기도 고양시 덕양구 행신동 943-1 아이프라자 106호,10495,동물약국
고양시,늘편안동물약국,정상,031-963-0059,10324,"경기도 고양시 일산동구 고양대로1021번길 33, 스타타워3차  1층 106호 (식사동)",경기도 고양시 일산동구 식사동 1587 ,10324,동물약국
고양시,경희행복한약국,정상,,10518,"경기도 고양시 덕양구 중앙로 559, 그랑프리빌딩 105호 (행신동)",경기도 고양시 덕양구 행신동 999-1번지 그랑프리빌딩 105호,10518,동물약국
고양시,풍동 태평양약국,정상,031-905-7985,,경기도 고양시 일산동구 숲속마을1로 76 (풍동),경기도 고양시 일산동구 풍동 1275번지,10305,동물약국
고양시,제일조은약국,정상,031-916-3486,10325,경기도 고양시 일산동구 동국로 20 (식사동),경기도 고양시 일산동구 식사동 662-11번지,10325,동물약국
고양시,동신약국,정상,031-972-3111,10526,경기도 고양시 덕양구 용현로 27 (행신동),경기도 고양시 덕양구 행신동 757-2번지,10526,동물약국
고양시,세일약국,정상,,10540,경기도 고양시 덕양구 화랑로 20-2 (화전동),경기도 고양시 덕양구 화전동 219-36번지,10540,동물약국
고양시,고양덕양동물약국,정상,,10588,"경기도 고양시 덕양구 동세로 63, 104호 (삼송동)",경기도 고양시 덕양구 삼송동 337-3번지 104호,10588,동물약국
고양시,고양이화약국,정상,031-969-1711,10274,경기도 고양시 덕양구 혜음로 38 (고양동),경기도 고양시 덕양구 고양동 139 ,10274,동물약국
고양시,다니엘팜약국,정상,,,경기도 고양시 일산동구 무궁화로 32-21 (장항동),경기도 고양시 일산동구 장항동 776-1번지,10401,동물약국
